rowname,RR,lower_ci,upper_ci,aRR,a_lower_ci,a_upper_ci
(Intercept),0.19,0.18,0.19,NA,NA,NA
year2017,0.98,0.95,1.02,0.98,0.95,1.02
year2018,0.95,0.91,0.98,0.94,0.91,0.98
year2019,0.94,0.91,0.97,0.93,0.9,0.96
(Intercept),0.17,0.16,0.17,NA,NA,NA
race2,1.36,1.32,1.41,1.28,1.24,1.33
race3,1.15,1.12,1.19,1.12,1.08,1.16
race4,1.16,1.1,1.21,1.15,1.1,1.21
race5,1.15,1.03,1.29,1.15,1.02,1.29
race6,1.21,1.14,1.28,1.13,1.07,1.2
(Intercept),0.2,0.2,0.21,NA,NA,NA
zipinc_qrtl2,0.89,0.86,0.92,0.93,0.9,0.96
zipinc_qrtl3,0.85,0.82,0.88,0.91,0.88,0.95
zipinc_qrtl4,0.86,0.83,0.89,0.9,0.87,0.94
(Intercept),0.25,0.22,0.28,NA,NA,NA
pay12,0.77,0.69,0.86,0.81,0.73,0.91
pay13,0.69,0.61,0.77,0.76,0.68,0.85
pay14,0.77,0.67,0.88,0.77,0.68,0.89
pay15,0.52,0.29,0.9,0.46,0.25,0.85
pay16,0.71,0.62,0.81,0.79,0.69,0.91
(Intercept),0.19,0.18,0.2,NA,NA,NA
hosp_locteach2,0.96,0.91,1.01,0.92,0.87,0.97
hosp_locteach3,0.94,0.9,0.98,0.87,0.83,0.91
(Intercept),0.12,0.11,0.13,NA,NA,NA
age,1.01,1.01,1.02,1.02,1.02,1.02
(Intercept),0.21,0.2,0.21,NA,NA,NA
hosp_region2,0.69,0.66,0.72,0.7,0.67,0.73
hosp_region3,1.03,1,1.07,1.02,0.98,1.05
hosp_region4,0.82,0.79,0.85,0.83,0.8,0.87
